[2025-01-24T23:14:17.136+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T23:14:17.155+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T23:12:54.176269+00:00 [queued]>
[2025-01-24T23:14:17.165+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 3
[2025-01-24T23:14:17.182+0000] {taskinstance.py:2888} INFO - Executing <Task(PreprocessDocuments): preprocess_documents_task> on 2025-01-24 23:12:54.176269+00:00
[2025-01-24T23:14:17.203+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=560) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-24T23:14:17.699+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-18-18.pdf already broken down into
[2025-01-24T23:14:17.699+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-19-19.pdf already broken down into
[2025-01-24T23:14:17.700+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-20-20.pdf already broken down into
[2025-01-24T23:14:17.700+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-21-21.pdf already broken down into
[2025-01-24T23:14:17.700+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-22-22.pdf already broken down into
[2025-01-24T23:14:17.701+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-23-23.pdf already broken down into
[2025-01-24T23:14:17.701+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-24-24.pdf already broken down into
[2025-01-24T23:14:17.702+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-25-25.pdf already broken down into
[2025-01-24T23:14:17.702+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-26-26.pdf already broken down into
[2025-01-24T23:14:17.703+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-27-27.pdf already broken down into
[2025-01-24T23:14:17.703+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-28-28.pdf already broken down into
[2025-01-24T23:14:17.704+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-29-29.pdf already broken down into
[2025-01-24T23:14:17.704+0000] {logging_mixin.py:190} INFO - File 3106200_2024-11-29_7143-page-30-30.pdf already broken down into
