[2025-01-24T22:33:34.944+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-24T22:33:34.958+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.964+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pull_gazettes_data.preprocess_documents_task manual__2025-01-24T21:10:42.449118+00:00 [queued]>
[2025-01-24T22:33:34.965+0000] {taskinstance.py:2865} INFO - Starting attempt 16 of 16
[2025-01-24T22:33:38.252+0000] {document_converter.py:242} INFO - Going to convert document batch...
[2025-01-24T22:33:38.566+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:40.732+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:41.234+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:41.669+0000] {base_pipeline.py:38} INFO - Processing document 3106200_2024-11-26_7140-page-0-0.pdf
[2025-01-24T22:33:43.226+0000] {document_converter.py:257} INFO - Finished converting document 3106200_2024-11-26_7140-page-0-0.pdf in 5.05 sec.
[2025-01-24T22:33:43.233+0000] {warnings.py:112} WARNING - /opt/***/dags/utils/preprocess_documents.py:112: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  metadata = pd.concat([metadata, pd.DataFrame(data_to_append)])

[2025-01-24T22:33:43.234+0000] {logging_mixin.py:190} INFO - Saving in path: /usr/local/***/data/preprocessed_documents/3106200_2024-11-26_7140-page-0-0.md
[2025-01-24T22:33:43.243+0000] {document_converter.py:242} INFO - Going to convert document batch...
[2025-01-24T22:33:43.422+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:45.412+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:45.805+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:46.121+0000] {base_pipeline.py:38} INFO - Processing document 3106200_2024-11-26_7140-page-1-1.pdf
[2025-01-24T22:33:47.700+0000] {document_converter.py:257} INFO - Finished converting document 3106200_2024-11-26_7140-page-1-1.pdf in 4.46 sec.
[2025-01-24T22:33:47.706+0000] {logging_mixin.py:190} INFO - Saving in path: /usr/local/***/data/preprocessed_documents/3106200_2024-11-26_7140-page-1-1.md
[2025-01-24T22:33:47.736+0000] {document_converter.py:242} INFO - Going to convert document batch...
[2025-01-24T22:33:47.925+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:50.009+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:50.913+0000] {accelerator_utils.py:41} INFO - Accelerator device: 'cpu'
[2025-01-24T22:33:51.228+0000] {base_pipeline.py:38} INFO - Processing document 3106200_2024-11-26_7140-page-2-2.pdf
[2025-01-24T22:33:53.852+0000] {local_task_job_runner.py:266} INFO - Task exited with return code -9For more information, see https://***.apache.org/docs/apache-***/stable/troubleshooting.html#LocalTaskJob-killed
[2025-01-24T22:33:53.922+0000] {taskinstance.py:3900} INFO - 0 downstream tasks scheduled from follow-on schedule check
[2025-01-24T22:33:53.924+0000] {local_task_job_runner.py:245} INFO - ::endgroup::
